,id,name,equation,definition,enzyme,substrates,products,stoichiometry_substrates,stoichiometry_products
72,R00088,ATP aminohydrolase,C00002 + C00001 <=> C00081 + C00014,ATP + H2O <=> ITP + Ammonia,3.5.4.17        3.5.4.18,"['C00002', 'C00001']","['C00081', 'C00014']","[1, 1]","[1, 1]"
73,R00089,ATP diphosphate-lyase (cyclizing,C00002 <=> C00575 + C00013,"ATP <=> 3',5'-Cyclic AMP + Diphosphate",4.6.1.1,['C00002'],"['C00575', 'C00013']",[1],"[1, 1]"
74,R00090,NADH:hydrogen-peroxide oxidoreductase,C00027 + C00004 + C00080 <=> C00003 + 2 C00001,Hydrogen peroxide + NADH + H+ <=> NAD+ + 2 H2O,1.11.1.1,"['C00027', 'C00004', 'C00080']","['C00003', 'C00001']","[1, 1, 1]","[1, '2']"
75,R00091,CoA:NAD+ oxidoreductase,C00003 + 2 C00010 <=> C02015 + C00004 + C00080,NAD+ + 2 CoA <=> CoA-disulfide + NADH + H+,,"['C00003', 'C00010']","['C02015', 'C00004', 'C00080']","[1, '2']","[1, 1, 1]"
76,R00092,Fe2+:NAD+ oxidoreductase,C00003 + 2 C14818 <=> C00004 + C00080 + 2 C14819,NAD+ + 2 Fe2+ <=> NADH + H+ + 2 Fe3+,1.16.1.7,"['C00003', 'C14818']","['C00004', 'C00080', 'C14819']","[1, '2']","[1, 1, '2']"
77,R00093,L-glutamate:NAD+ oxidoreductase (transaminating),2 C00025 + C00003 <=> C00064 + C00026 + C00004 + C00080,2 L-Glutamate + NAD+ <=> L-Glutamine + 2-Oxoglutarate + NADH + H+,1.4.1.14,"['C00025', 'C00003']","['C00064', 'C00026', 'C00004', 'C00080']","['2', 1]","[1, 1, 1, 1]"
78,R00094,glutathione:NAD+ oxidoreductase,2 C00051 + C00003 <=> C00127 + C00004 + C00080,2 Glutathione + NAD+ <=> Glutathione disulfide + NADH + H+,1.8.1.7,"['C00051', 'C00003']","['C00127', 'C00004', 'C00080']","['2', 1]","[1, 1, 1]"
79,R00095,NADH:monodehydroascorbate oxidoreductase,C00003 + 2 C00072 <=> C00004 + 2 C01041 + C00080,NAD+ + 2 Ascorbate <=> NADH + 2 Monodehydroascorbate + H+,1.6.5.4,"['C00003', 'C00072']","['C00004', 'C01041', 'C00080']","[1, '2']","[1, '2', 1]"
80,R00097,Cob(II)alamin <=> Aquacob(III)alamin,C00541 <=> C00992,Cob(II)alamin <=> Aquacob(III)alamin,,['C00541'],['C00992'],[1],[1]
81,R00099,Cob(I)alamin <=> Cob(II)alamin,C00853 <=> C00541,Cob(I)alamin <=> Cob(II)alamin,,['C00853'],['C00541'],[1],[1]
82,R00100,NADH:ferricytochrome-b5 oxidoreductase,C00004 + 2 C00996 <=> C00003 + 2 C00999 + C00080,NADH + 2 Ferricytochrome b5 <=> NAD+ + 2 Ferrocytochrome b5 + H+,1.6.2.2,"['C00004', 'C00996']","['C00003', 'C00999', 'C00080']","[1, '2']","[1, '2', 1]"
83,R00101,NADH:ferrileghemoglobin oxidoreductase,C00004 + 2 C02683 <=> C00003 + 2 C02685 + C00080,NADH + 2 Ferrileghemoglobin <=> NAD+ + 2 Ferroleghemoglobin + H+,1.6.2.6,"['C00004', 'C02683']","['C00003', 'C02685', 'C00080']","[1, '2']","[1, '2', 1]"
84,R00102,NAD+ glycohydrolase,C00003 + C00001 <=> C00153 + C00301,NAD+ + H2O <=> Nicotinamide + ADP-ribose,3.2.2.5         3.2.2.6         3.5.1.-,"['C00003', 'C00001']","['C00153', 'C00301']","[1, 1]","[1, 1]"
85,R00103,NAD+ phosphohydrolase,C00003 + C00001 <=> C00020 + C00455,NAD+ + H2O <=> AMP + Nicotinamide D-ribonucleotide,3.6.1.9         3.6.1.22,"['C00003', 'C00001']","['C00020', 'C00455']","[1, 1]","[1, 1]"
86,R00104,ATP:NAD+ 2'-phosphotransferase,C00002 + C00003 <=> C00008 + C00006,ATP + NAD+ <=> ADP + NADP+,2.7.1.23,"['C00002', 'C00003']","['C00008', 'C00006']","[1, 1]","[1, 1]"
87,R00105,ATP:NADH 2'-phosphotransferase,C00002 + C00004 <=> C00008 + C00005,ATP + NADH <=> ADP + NADPH,2.7.1.86,"['C00002', 'C00004']","['C00008', 'C00005']","[1, 1]","[1, 1]"
88,R00106,NADPH:ferricytochrome oxidoreductase,C00005 + 2 C00923 <=> C00006 + 2 C00924 + C00080,NADPH + 2 Ferricytochrome <=> NADP+ + 2 Ferrocytochrome + H+,1.6.2.4,"['C00005', 'C00923']","['C00006', 'C00924', 'C00080']","[1, '2']","[1, '2', 1]"
89,R00108,NADPH:ferricytochrome-c2 oxidoreductase,C00005 + 2 C00997 <=> C00006 + 2 C01000 + C00080,NADPH + 2 Ferricytochrome c2 <=> NADP+ + 2 Ferrocytochrome c2 + H+,1.6.2.5,"['C00005', 'C00997']","['C00006', 'C01000', 'C00080']","[1, '2']","[1, '2', 1]"
90,R00109,NADPH:ferrileghemoglobin oxidoreductase,C00005 + 2 C02683 <=> C00006 + 2 C02685 + C00080,NADPH + 2 Ferrileghemoglobin <=> NADP+ + 2 Ferroleghemoglobin + H+,1.6.2.6,"['C00005', 'C02683']","['C00006', 'C02685', 'C00080']","[1, '2']","[1, '2', 1]"
91,R00111,"N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)",C00005 + 2 C05933 + 2 C00007 + C00080 <=> C00006 + 2 C00533 + 2 C00327 + 2 C00001,NADPH + 2 N(omega)-Hydroxyarginine + 2 Oxygen + H+ <=> NADP+ + 2 Nitric oxide + 2 L-Citrulline + 2 H2O,1.14.13.39,"['C00005', 'C05933', 'C00007', 'C00080']","['C00006', 'C00533', 'C00327', 'C00001']","[1, '2', '2', 1]","[1, '2', '2', '2']"
92,R00112,NADPH:NAD+ oxidoreductase,C00005 + C00003 <=> C00006 + C00004,NADPH + NAD+ <=> NADP+ + NADH,1.6.1.1         1.6.1.2         1.6.1.3,"['C00005', 'C00003']","['C00006', 'C00004']","[1, 1]","[1, 1]"
93,R00113,NADPH:hydrogen-peroxide oxidoreductase,C00027 + C00005 + C00080 <=> C00006 + 2 C00001,Hydrogen peroxide + NADPH + H+ <=> NADP+ + 2 H2O,1.11.1.2,"['C00027', 'C00005', 'C00080']","['C00006', 'C00001']","[1, 1, 1]","[1, '2']"
94,R00114,L-glutamate:NADP+ oxidoreductase (transaminating),2 C00025 + C00006 <=> C00064 + C00026 + C00005 + C00080,2 L-Glutamate + NADP+ <=> L-Glutamine + 2-Oxoglutarate + NADPH + H+,1.4.1.13,"['C00025', 'C00006']","['C00064', 'C00026', 'C00005', 'C00080']","['2', 1]","[1, 1, 1, 1]"
